Nome;Cód;CPF / CNPJ;Agente;;Ação;Data;Hora;Histórico;Fone Discado;Credor;Atraso;Valor;Inclusão;CDEC;Fase
AQUASUN PISCINAS LTDA;1.545.366;66.165.634/0001-02;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;07/05/2026;11:35:12;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>61 99881-5994 - ira baixar mais tarde e fazer a conta<BR> ;981;61 99881-5994;C6BANK;29;1,00;09/04/2026;;08/04/2026
MARCOS NEVES DOS SANTOS SOCIEDADE INDIVIDUAL DE AD;1.597.910;66.539.424/0001-37;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;05/05/2026;11:17:55;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>21964486260- IRA ABRIR CONTA AS 15:00<BR> ;974;21 96448-6260;C6BANK;11;1,00;30/04/2026;;06/05/2026
SIGNOR SERVICOS AGRICOLAS LTDA;1.593.215;66.513.280/0001-40;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;05/05/2026;11:07:46;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>65 99230-6079 - CLIENTE ESTA OCUPADO PEDIU PARA ACOMPANHA-LO NO WHATSAP PARA ABRIR A CONTA<BR> ;933;65 99230-6079;C6BANK;5;1,00;29/04/2026;;05/05/2026
UPSERVICE MANUTENCAO E REPARO LTDA;1.610.858;66.636.450/0001-83;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;07/05/2026;09:41:41;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>71 99735-6057- Ira abrir a conta ainda hoje<BR> ;974;71 99735-6057;C6BANK;3;1,00;06/05/2026;;3314708
GUADALAJARA ESPORTE CLUBE;1.459.737;65.725.185/0001-47;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;06/05/2026;12:06:03;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>31 99557-5513- retornar as 16:00 para finalizar abertura da conta<BR> ;981;31 99557-5513;C6BANK;55;1,00;17/03/2026;;12/03/2026
SOUTHVALE TECNOLOGIA LTDA;1.595.199;66.524.342/0001-19;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;04/05/2026;11:26:52;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>83 99317-0398- ira fazer o ativação na hora do almoço<BR> ;974;83 99317-0398;C6BANK;6;1,00;29/04/2026;;04/05/2026
COSTA SOUZA SOCIEDADE INDIVIDUAL DE ADVOCACIA;1.600.282;66.553.705/0001-44;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;04/05/2026;11:09:31;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>31 98503-7330- ira abrir a conta mais tarde<BR> ;974;31 98503-7330;C6BANK;10;1,00;01/05/2026;;04/05/2026
DS INTERMEDIACOES DE NEGOCIOS LTDA;1.612.347;66.644.651/0001-22;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;07/05/2026;08:56:03;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>41 99873-4306 - conta em analise<BR> ;974;41 99873-4306;C6BANK;1;1,00;06/05/2026;;7490104
BARBEARIA MEU BARBEIRO LTDA;1.553.884;66.224.640/0001-93;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;04/05/2026;10:01:49;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>49 99124-1319 - CONTA ABERTA EM LINHA<BR> ;981;49 99124-1319;C6BANK;24;1,00;13/04/2026;;04/05/2026
ESTACAO BADY ESPETO LTDA;1.609.557;66.628.816/0001-72;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;06/05/2026;14:50:38;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>ABRIU CONTA<BR> ;981;17 99233-3643;C6BANK;2;1,00;06/05/2026;;06/05/2026
SP CONSULTORIA E ASSESSORIA TRIBUTARIA E EMPRESARI;1.545.511;66.166.716/0001-71;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;05/05/2026;18:00:02;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>informou que iria abrir a conta em chamada .<BR> ;974;31 99644-8068;C6BANK;26;1,00;09/04/2026;;05/05/2026
K. C. DEMETI SERVICOS LTDA;1.590.990;66.500.803/0001-13;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;06/05/2026;16:20:43;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>DISSE EM CHAMADA QUE IRÁ ABRIR A CONTA .<BR> ;974;16 99755-5820;C6BANK;9;1,00;28/04/2026;;06/05/2026
BIZETTO E MORAES LTDA;1.534.972;65.738.681/0001-35;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;06/05/2026;16:13:20;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>DISSE QUE IRÁ BAIXAR O APLICATIVO EM CHAMADA.<BR> ;974;11 96844-0870;C6BANK;51;1,00;07/04/2026;;06/05/2026
MK DESPACHANTE LTDA;1.608.071;66.617.833/0001-04;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;05/05/2026;17:23:58;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>IRÁ ABRIR CONTA EM CHAMADA.<BR> ;974;51 99475-3268;C6BANK;0;1,00;05/05/2026;;05/05/2026
PEQUENA ESTRELINHA EM SEGURANCA DO TRABALHO LTDA;1.532.174;65.975.305/0001-64;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;06/05/2026;16:05:32;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>DISSE EM CHAMADAQUE IRÁ BAIXAR O APLICATIVO .<BR> ;974;54 99976-2731;C6BANK;43;1,00;07/04/2026;;06/05/2026
ROBSON ROBERTO RITA  - ESPORTES;539.713;62.583.373/0001-90;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;05/05/2026;15:16:41;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>FIZ ATENDIMENTO EM LINHA E CLIENTE IRÁ ABRIR DEPOIS.<BR> ;981;62 98462-3932;C6BANK;242;1,00;27/11/2025;;05/09/2025
RAFAELA OLIVEIRA PONTES SOCIEDADE INDIVIDUAL DE ADVOCACIA;1.442.943;65.622.184/0001-77;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;07/05/2026;13:15:52;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>disse em chamada<BR> ;974;31 98307-6962;C6BANK;59;1,00;11/03/2026;;09/03/2026
EMBALAGENS DE MADEIRA CAMBIRA LTDA;1.614.824;66.659.747/0001-64;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;07/05/2026;13:56:19;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>DISSE EM CHAMADA QUE IRÁ ABRIR A CONTA<BR> ;933;43 99613-8457;C6BANK;3;1,00;07/05/2026;;1623400
LR REAL ESTATE SOLUTION LTDA;1.615.209;66.662.090/0001-94;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;07/05/2026;14:49:18;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>cliente disse emlinha que irá baixar.<BR> ;974;34 99261-5802;C6BANK;1;1,00;07/05/2026;;6821801
GLOBAL PLUS SERVICOS LTDA;1.496.439;66.027.331/0001-23;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;07/05/2026;14:59:49;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>disse em chamada que irábaixar o aplicativo .<BR> ;974;92 99371-5119;C6BANK;38;1,00;01/04/2026;;30/03/2026
SANTA CRUZ INTERMEDIACAO DE NEGOCIOS LTDA;1.585.812;66.467.363/0001-40;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;02/05/2026;11:31:06;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>IRÁ FINALIZAR ABERTURA DE CONTA .<BR> ;974;12 99226-7973;C6BANK;8;1,00;27/04/2026;;02/05/2026
ATHENA STUDIO LTDA;1.552.201;66.215.186/0001-04;39;CAMILA HOSANA ROJAS ARAÚJO;OCO;02/05/2026;11:03:25;AGENTE: CAMILA HOSANA ROJAS ARAÚJO<BR><BR>42 99993-9126-CLIENTE FINALIZOU A ABERTURA EM LINHA .<BR> ;974;42 99993-9126;C6BANK;22;1,00;13/04/2026;;02/05/2026
DESMONTE JA AUTO PECAS LTDA;1.450.289;65.664.305/0001-43;40;DANIEL DEL OLMO ALVES;OCO;07/05/2026;12:32:37;AGENTE: DANIEL DEL OLMO ALVES<BR><BR>.<BR> ;938;33 2130-0068;C6BANK;1;1,00;13/03/2026;;06/05/2026
FRUTUOSO GESTAO IMOBILIARIA LTDA;1.600.593;66.560.745/0001-13;40;DANIEL DEL OLMO ALVES;OCO;02/05/2026;11:06:58;AGENTE: DANIEL DEL OLMO ALVES<BR><BR>65 99287-6758 - ABERTURA REALIZADA EM LINHA<BR> ;974;65 99287-6758;C6BANK;2;1,00;02/05/2026;;02/05/2026
DESIGN FINAL MARMORARIA E VIDRACARIA LTDA;1.608.374;66.620.276/0001-80;40;DANIEL DEL OLMO ALVES;OCO;06/05/2026;12:34:39;AGENTE: DANIEL DEL OLMO ALVES<BR><BR>.<BR> ;981;16 99261-5929;C6BANK;1;1,00;05/05/2026;;2391503
LJ TRANSPORTE LTDA;1.470.138;65.787.895/0001-00;40;DANIEL DEL OLMO ALVES;OCO;06/05/2026;12:21:02;AGENTE: DANIEL DEL OLMO ALVES<BR><BR>.<BR> ;981;27 99886-2808;C6BANK;48;1,00;19/03/2026;;06/05/2026
MATSUOKA SOCIEDADE INDIVIDUAL DE ADVOCACIA;1.604.562;66.597.624/0001-46;40;DANIEL DEL OLMO ALVES;OCO;06/05/2026;10:30:10;AGENTE: DANIEL DEL OLMO ALVES<BR><BR>conta aberta em linha<BR> ;981;11 4668-1000;C6BANK;2;1,00;05/05/2026;;06/05/2026
66.575.388 INOVA SIMPLES (I.S.);1.601.494;66.575.388/0001-67;40;DANIEL DEL OLMO ALVES;OCO;05/05/2026;10:57:56;AGENTE: DANIEL DEL OLMO ALVES<BR><BR>após o contato no dia 04/05 pelo LEMIT VOX/URA , ficou agendado o retorno para as 10:00 do dia 05/05, entretanto na data marcada não consegui entrar em contato devido das oscilações da internet, 10:45 entrei em contato e o mesmo afirmou já ter feito o cadastro e a abertura da conta estar em análise<BR> ;973;51 99885-1894;C6BANK;1;1,00;04/05/2026;;04/05/2026
LGC SERVICOS E PINTURAS INDUSTRIAIS LTDA;1.517.092;65.617.198/0001-00;40;DANIEL DEL OLMO ALVES;OCO;04/05/2026;10:51:28;AGENTE: DANIEL DEL OLMO ALVES<BR><BR>cliente iniciou a abertura da conta em chamada, após alguns passos a chamada caiu, ao retornar a chamada cliente havia realizado o cadastro<BR> ;981;14 99696-6633;C6BANK;54;1,00;07/04/2026;;04/05/2026
FABIO BORGES RODRIGUES SOCIEDADE INDIVIDUAL DE ADV;1.513.081;65.885.202/0001-03;40;DANIEL DEL OLMO ALVES;OCO;04/05/2026;09:21:07;AGENTE: DANIEL DEL OLMO ALVES<BR><BR>83 98755-5582 -Conta aberta em linha<BR> ;971;83 98755-5582;C6BANK;4;1,00;07/04/2026;;04/05/2026
VH SOLUCOES FINANCEIRAS LTDA;1.519.322;65.787.555/0001-70;41;LIVIA ALVES GRANJA;OCO;06/05/2026;13:11:28;AGENTE: LIVIA ALVES GRANJA<BR><BR>11 99747-8781 cliente abriu a conta<BR> ;974;11 99747-8781;C6BANK;48;1,00;07/04/2026;;06/05/2026
M W A SERVICO DE AGENCIAMENTO MARITIMO LTDA.;1.606.476;66.609.200/0001-54;41;LIVIA ALVES GRANJA;OCO;06/05/2026;17:41:26;AGENTE: LIVIA ALVES GRANJA<BR><BR>27 98859-8401<BR> ;974;27 98859-8401;C6BANK;1;1,00;05/05/2026;;06/05/2026
59.749.738 CRISTIANO ALVES DO PRADO;413.324;59.749.738/0001-07;41;LIVIA ALVES GRANJA;OCO;05/05/2026;15:43:11;AGENTE: LIVIA ALVES GRANJA<BR><BR>43 99874-6266 - cliente disse que realizaria a abertura de conta assim que se desocupasse<BR> ;973;43 99874-6266;C6BANK;426;1,00;24/11/2025;;05/05/2026
F S PRESTACAO DE SERVICOS DE CARGA E DESCARGA LTDA;1.605.974;66.605.637/0001-10;41;LIVIA ALVES GRANJA;OCO;05/05/2026;15:01:59;AGENTE: LIVIA ALVES GRANJA<BR><BR>81 98593-8162 - CLIENTE DISSE QUE VAI ABRIR CONTA QUANDO CHEGAR EM CASA<BR> ;974;81 98593-8162;C6BANK;6;1,00;05/05/2026;;05/05/2026
SILVERSTONE MULTIMARCAS LTDA;1.340.834;65.296.423/0001-46;41;LIVIA ALVES GRANJA;OCO;05/05/2026;13:46:34;AGENTE: LIVIA ALVES GRANJA<BR><BR>41991145312 - cliente disse que vai baixar no fim do dia<BR> ;932;41 99114-5312;C6BANK;74;1,00;24/02/2026;;05/05/2026
BOM JAPA COMIDA ORIENTAL LTDA;1.554.101;66.225.973/0001-37;41;LIVIA ALVES GRANJA;OCO;04/05/2026;17:17:35;AGENTE: LIVIA ALVES GRANJA<BR><BR>15988200198 - disse que vai baixar quando parar o carro<BR> ;973;15 98820-0198;C6BANK;3;1,00;13/04/2026;;01/05/2026
LANCHONETE E RESTAURANTE OLIVEIRA E OLIVEIRA TAUBA;1.193.454;64.503.693/0001-18;41;LIVIA ALVES GRANJA;OCO;04/05/2026;17:01:44;AGENTE: LIVIA ALVES GRANJA<BR><BR>12 98188-0196 - falou que iria abrir quando parasse o carro<BR> ;973;12 98188-0196;C6BANK;109;1,00;15/01/2026;;04/05/2026
ORTO PRIME SERVICOS MEDICOS LTDA;1.524.934;65.554.176/0001-30;41;LIVIA ALVES GRANJA;OCO;04/05/2026;13:27:14;AGENTE: LIVIA ALVES GRANJA<BR><BR>83991681212 - cliente irá configurar o aplicativo quando parar o carro<BR> ;971;83 99168-1212;C6BANK;3;1,00;07/04/2026;;01/05/2026
DAMASCENO CONSTRUTORA LTDA;1.609.964;66.631.157/0001-23;41;LIVIA ALVES GRANJA;OCO;07/05/2026;14:42:18;AGENTE: LIVIA ALVES GRANJA<BR><BR>77 98113-4873<BR> ;981;77 98113-4873;C6BANK;1;1,00;06/05/2026;;4399101
ALTO CONFORTO ESTOFADOS LTDA;1.603.631;66.589.353/0001-87;42;HELLEN CRISTYNE DE SOUSA SANTO;OCO;05/05/2026;11:22:06;AGENTE: HELLEN CRISTYNE DE SOUSA SANTO<BR><BR>31 98284-7279- Irá abrir a conta em breve<BR> ;974;31 98284-7279;C6BANK;1;1,00;04/05/2026;;05/05/2026
