Nome;Cód;CPF / CNPJ;Agente;;Ação;Data;Hora;Histórico;Fone Discado;Credor;Atraso;Valor;Inclusão;CDEC;Fase
MINISTERIO SEMEAR;1.465.389;65.757.160/0001-25;36;LUIZ EDUARDO CAPOVILLA;OCO;05/05/2026;14:29:18;AGENTE: LUIZ EDUARDO CAPOVILLA<BR><BR>Cliente confirmou que irá abrir a conta.<BR> ;933;31 99583-8231;C6BANK;11;1,00;18/03/2026;;24/04/2026
ROSI LIDIANE RODRIGUES DA SILVA LTDA;1.599.003;66.544.566/0001-92;36;LUIZ EDUARDO CAPOVILLA;OCO;02/05/2026;11:31:37;AGENTE: LUIZ EDUARDO CAPOVILLA<BR><BR>Cliente confirmou que  irá abrir a conta.<BR> ;974;74 99994-4893;C6BANK;2;1,00;30/04/2026;;02/05/2026
ZELIA COSTA SANTOS DA CONCEICAO PSICOLOGIA CLINICA;1.508.642;66.116.923/0001-11;36;LUIZ EDUARDO CAPOVILLA;OCO;05/05/2026;14:07:29;AGENTE: LUIZ EDUARDO CAPOVILLA<BR><BR>Confirmou que irá abrir a conta.<BR> ;933;71 99198-6492;C6BANK;1;1,00;07/04/2026;;04/05/2026
GEORGE SOM AUDIO SYSTEMS LTDA;1.599.755;66.548.320/0001-99;36;LUIZ EDUARDO CAPOVILLA;OCO;05/05/2026;11:53:55;AGENTE: LUIZ EDUARDO CAPOVILLA<BR><BR>Cliente abriu em linha<BR> ;981;84 99653-0500;C6BANK;5;1,00;30/04/2026;;05/05/2026
SAAF SOLUCOES EM RADIOLOGIA LTDA;1.599.475;66.547.263/0001-23;36;LUIZ EDUARDO CAPOVILLA;OCO;04/05/2026;11:14:25;AGENTE: LUIZ EDUARDO CAPOVILLA<BR><BR>Cliente confirmou que irá abrir a conta.<BR> ;981;21 96468-5377;C6BANK;6;1,00;30/04/2026;;04/05/2026
MA - MARCOS ANTONIO PERSONAL TRAINER COMERCIO E RE;1.543.521;66.152.160/0001-64;36;LUIZ EDUARDO CAPOVILLA;OCO;04/05/2026;12:35:19;AGENTE: LUIZ EDUARDO CAPOVILLA<BR><BR>Cliente confirmou que irá abrir a conta<BR> ;981;64 99610-1609;C6BANK;2;1,00;08/04/2026;;02/05/2026
COMERCIAL TIAGO PRADO AGROPECUARIA LTDA;1.596.817;66.534.380/0001-52;36;LUIZ EDUARDO CAPOVILLA;OCO;04/05/2026;13:05:19;AGENTE: LUIZ EDUARDO CAPOVILLA<BR><BR>Cliente confirmou que irá abrir a conta.<BR> ;971;88 99491-1215;C6BANK;2;1,00;30/04/2026;;02/05/2026
CONCEITO - ACO METALURGICA E FERRAGISTA LTDA;1.574.684;66.395.033/0001-96;36;LUIZ EDUARDO CAPOVILLA;OCO;07/05/2026;13:38:37;AGENTE: LUIZ EDUARDO CAPOVILLA<BR><BR>Confirmou que irá abrir a conta.<BR> ;973;62 99656-0266;C6BANK;3;1,00;22/04/2026;;04/05/2026
SERRA DELIVERY PIZZARIA LTDA;1.613.647;66.653.629/0001-49;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;07/05/2026;10:19:12;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>54 99344-6006- IRA ATIVA A CONTA MAIS TARDE<BR> ;974;54 99344-6006;C6BANK;9;1,00;07/05/2026;;5620104
RONALDO FELIX PEDRO LTDA;1.608.832;66.625.228/0001-85;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;07/05/2026;10:47:34;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>17 99613-1493 - cliente disse que esta no horario do almoço mais atarde, consegue ativar a conta<BR> ;981;17 99613-1493;C6BANK;1;1,00;06/05/2026;;8130300
SOL PARTICIPACOES LTDA;1.387.433;62.739.422/0001-30;37;CARLOS AUGUSTO BRITTES DOS SAN;OCO;07/05/2026;11:03:35;AGENTE: CARLOS AUGUSTO BRITTES DOS SAN<BR><BR>11995159152 - CLIENTE DISSE QUE IRA BAIXAR O APP AINDA HOJE E ABRIR A CONTA<BR> ;981;11 99515-9152;C6BANK;233;1,00;01/03/2026;;16/09/2025
